order_id,segment,protein_class,min_titer,blood_type,requested_volume_l,due_date,priority
O00000,research,IgG,high,,7.01,2025-11-03,1
O00001,hospital,Fibrinogen,low,O-,53.65,2025-10-17,3
O00002,hospital,IgG,high,A+,45.09,2025-10-26,3
O00003,hospital,IgG,med,O-,45.01,2025-10-22,3
O00004,research,IgG,med,,21.48,2025-11-12,1
O00005,research,Fibrinogen,low,,18.61,2025-11-06,1
O00006,pharma,Albumin,low,,48.42,2025-10-29,2
O00007,pharma,Albumin,low,,35.98,2025-11-06,2
O00008,hospital,IgG,med,,57.67,2025-11-02,3
O00009,hospital,IgG,med,,39.26,2025-11-05,3
O00010,research,IgG,med,,17.87,2025-10-27,1
O00011,research,Fibrinogen,low,,18.24,2025-11-29,1
O00012,hospital,IgG,med,A+,43.11,2025-11-10,3
O00013,hospital,Albumin,low,O-,42.69,2025-11-27,3
O00014,hospital,Albumin,low,,45.49,2025-10-20,3
O00015,research,Albumin,low,A-,26.31,2025-11-19,1
O00016,pharma,Albumin,low,,28.34,2025-11-18,2
O00017,research,IgG,med,,23.55,2025-10-25,1
O00018,hospital,Albumin,low,O-,29.88,2025-11-05,3
O00019,hospital,Albumin,low,A+,18.41,2025-10-22,3
O00020,hospital,IgG,high,,58.96,2025-10-20,3
O00021,pharma,Albumin,low,,73.83,2025-10-29,2
O00022,hospital,IgG,med,B-,39.42,2025-11-18,3
O00023,pharma,IgG,med,,60.66,2025-10-31,2
O00024,pharma,IgG,med,,55.92,2025-10-28,2
O00025,research,IgG,med,,24.76,2025-11-28,1
O00026,pharma,IgG,low,,47.89,2025-11-13,2
O00027,hospital,IgG,med,O+,21.83,2025-11-30,3
O00028,hospital,IgG,med,,27.99,2025-11-11,3
O00029,pharma,Fibrinogen,low,,64.55,2025-10-17,2
O00030,hospital,Albumin,low,,54.7,2025-11-06,3
O00031,hospital,IgG,med,B+,23.71,2025-11-28,3
O00032,hospital,Albumin,low,A+,54.05,2025-10-25,3
O00033,research,IgG,med,,14.05,2025-10-31,1
O00034,hospital,Albumin,low,O+,37.44,2025-10-18,3
O00035,hospital,IgG,low,A-,45.45,2025-11-06,3
O00036,pharma,IgG,med,,49.08,2025-11-13,2
O00037,pharma,Fibrinogen,low,,32.52,2025-10-22,2
O00038,research,IgG,med,AB+,11.62,2025-10-21,1
O00039,hospital,Albumin,low,O-,53.06,2025-10-23,3
O00040,hospital,IgG,high,B+,90.41,2025-10-18,3
O00041,pharma,Fibrinogen,low,,43.72,2025-11-16,2
O00042,pharma,IgG,low,,42.03,2025-10-22,2
O00043,research,Albumin,low,,11.86,2025-10-29,1
O00044,hospital,IgG,med,A-,42.59,2025-10-17,3
O00045,hospital,IgG,med,AB+,40.59,2025-11-06,3
O00046,hospital,IgG,med,AB+,47.21,2025-11-25,3
O00047,hospital,IgG,high,A+,46.06,2025-10-29,3
O00048,hospital,IgG,high,O+,31.29,2025-11-03,3
O00049,hospital,IgG,low,AB+,55.78,2025-10-28,3
O00050,hospital,IgG,med,A+,48.89,2025-11-27,3
O00051,pharma,Fibrinogen,low,,60.38,2025-11-15,2
O00052,hospital,Albumin,low,O-,45.78,2025-11-14,3
O00053,hospital,IgG,med,,33.16,2025-11-13,3
O00054,pharma,IgG,low,,37.68,2025-10-18,2
O00055,hospital,Albumin,low,A+,51.22,2025-10-18,3
O00056,hospital,IgG,high,,56.94,2025-10-30,3
O00057,hospital,IgG,med,B+,33.48,2025-11-10,3
O00058,pharma,IgG,med,,52.23,2025-10-22,2
O00059,hospital,IgG,high,AB+,59.63,2025-11-04,3
O00060,pharma,IgG,high,,59.04,2025-10-22,2
O00061,research,IgG,med,O-,13.46,2025-11-08,1
O00062,pharma,Albumin,low,,53.45,2025-11-18,2
O00063,pharma,Albumin,low,,49.52,2025-11-05,2
O00064,hospital,Albumin,low,AB+,50.5,2025-11-08,3
O00065,hospital,Fibrinogen,low,A-,42.02,2025-10-24,3
O00066,hospital,IgG,med,B-,52.19,2025-10-26,3
O00067,research,IgG,med,,13.64,2025-11-02,1
O00068,pharma,IgG,med,,37.33,2025-11-25,2
O00069,research,Albumin,low,,15.88,2025-11-21,1
O00070,pharma,IgG,med,,53.6,2025-11-16,2
O00071,hospital,Fibrinogen,low,O+,68.42,2025-11-24,3
O00072,pharma,Albumin,low,,28.15,2025-10-30,2
O00073,pharma,Albumin,low,,25.23,2025-11-17,2
O00074,hospital,Albumin,low,,40.82,2025-10-25,3
O00075,hospital,Albumin,low,,47.54,2025-11-03,3
O00076,hospital,IgG,low,AB+,47.99,2025-10-27,3
O00077,hospital,IgG,high,,43.29,2025-11-24,3
O00078,hospital,IgG,med,B-,56.5,2025-11-16,3
O00079,research,Albumin,low,,17.46,2025-11-15,1
O00080,hospital,Albumin,low,B-,59.1,2025-11-04,3
O00081,pharma,IgG,high,,51.28,2025-10-22,2
O00082,hospital,IgG,high,A+,57.05,2025-11-17,3
O00083,hospital,Albumin,low,B+,58.64,2025-11-25,3
O00084,hospital,IgG,high,A-,61.28,2025-11-25,3
O00085,pharma,Fibrinogen,low,,65.54,2025-10-18,2
O00086,hospital,IgG,med,,37.51,2025-11-25,3
O00087,pharma,IgG,med,,50.5,2025-11-29,2
O00088,hospital,IgG,med,A-,47.57,2025-11-21,3
O00089,hospital,IgG,med,,63.25,2025-11-22,3
O00090,pharma,IgG,med,,60.88,2025-10-27,2
O00091,pharma,Fibrinogen,low,,54.67,2025-10-19,2
O00092,hospital,IgG,med,A-,30.94,2025-11-27,3
O00093,pharma,IgG,med,,54.23,2025-11-08,2
O00094,pharma,IgG,low,,39.33,2025-11-20,2
O00095,research,Albumin,low,,20.55,2025-11-09,1
O00096,pharma,IgG,med,,50.52,2025-11-19,2
O00097,research,Fibrinogen,low,,19.95,2025-10-31,1
O00098,research,Albumin,low,,11.22,2025-11-24,1
O00099,pharma,IgG,low,,52.66,2025-11-13,2
O00100,pharma,Albumin,low,,56.39,2025-11-30,2
O00101,hospital,IgG,low,B+,30.54,2025-11-22,3
O00102,pharma,IgG,med,,50.63,2025-10-29,2
O00103,pharma,IgG,med,,57.28,2025-10-19,2
O00104,pharma,IgG,med,,73.92,2025-11-25,2
O00105,hospital,Albumin,low,,45.05,2025-10-22,3
O00106,hospital,IgG,med,AB+,48.56,2025-10-19,3
O00107,research,IgG,med,,25.99,2025-11-14,1
O00108,pharma,Fibrinogen,low,,67.09,2025-10-24,2
O00109,research,Albumin,low,,21.17,2025-10-19,1
O00110,pharma,IgG,med,,23.24,2025-10-30,2
O00111,hospital,IgG,med,B+,59.75,2025-10-23,3
O00112,pharma,IgG,low,,62.52,2025-11-26,2
O00113,hospital,IgG,high,A-,66.0,2025-11-05,3
O00114,hospital,IgG,high,A-,52.2,2025-11-05,3
O00115,pharma,IgG,med,,43.85,2025-10-17,2
O00116,hospital,IgG,med,A+,60.81,2025-11-18,3
O00117,hospital,Albumin,low,AB-,56.84,2025-10-27,3
O00118,hospital,Albumin,low,A+,69.12,2025-11-02,3
O00119,hospital,IgG,low,O-,46.66,2025-10-20,3
