batch_id,protein_class,titer,blood_type,volume_l,collection_date,expiry_date,compliance
B00000,Fibrinogen,low,AB+,24.67,2025-10-11,2025-12-08,ok
B00001,IgG,high,AB+,57.63,2025-10-06,2025-11-09,ok
B00002,IgG,low,A+,15.27,2025-09-21,2025-11-13,ok
B00003,IgG,low,A+,67.63,2025-09-21,2025-10-21,ok
B00004,Albumin,med,A+,28.95,2025-09-20,2025-10-25,ok
B00005,Fibrinogen,high,A-,42.21,2025-10-12,2025-12-10,ok
B00006,IgG,med,O-,54.84,2025-10-09,2025-11-29,ok
B00007,IgG,med,AB-,53.72,2025-09-27,2025-11-26,ok
B00008,Albumin,low,A+,3.0,2025-09-24,2025-10-21,hold
B00009,IgG,high,B-,60.18,2025-10-06,2025-11-11,ok
B00010,Albumin,high,O-,28.49,2025-10-15,2025-11-21,ok
B00011,IgG,med,B+,72.95,2025-10-06,2025-11-25,ok
B00012,IgG,med,B+,37.35,2025-10-12,2025-11-08,ok
B00013,IgG,med,O-,72.36,2025-09-19,2025-10-29,hold
B00014,Fibrinogen,low,A-,78.25,2025-10-09,2025-12-08,ok
B00015,Fibrinogen,low,B-,65.38,2025-10-10,2025-11-15,ok
B00016,IgG,low,O+,57.0,2025-09-18,2025-10-27,ok
B00017,Fibrinogen,low,A-,39.38,2025-10-03,2025-11-19,ok
B00018,IgG,low,O+,44.94,2025-09-24,2025-11-16,ok
B00019,IgG,med,AB-,38.82,2025-10-13,2025-12-02,ok
B00020,IgG,med,B-,63.9,2025-10-08,2025-11-28,ok
B00021,IgG,med,A-,60.35,2025-09-26,2025-10-28,ok
B00022,IgG,low,AB-,73.16,2025-10-07,2025-11-23,ok
B00023,IgG,med,A-,23.38,2025-09-19,2025-11-07,ok
B00024,IgG,med,O-,46.31,2025-09-26,2025-11-27,hold
B00025,IgG,med,O+,48.9,2025-09-30,2025-10-23,ok
B00026,IgG,med,B-,28.85,2025-09-17,2025-10-11,ok
B00027,IgG,med,AB+,25.27,2025-09-19,2025-11-04,ok
B00028,IgG,low,AB-,13.12,2025-10-07,2025-11-23,ok
B00029,IgG,med,B+,49.65,2025-09-30,2025-10-22,ok
B00030,Fibrinogen,med,AB+,48.99,2025-10-14,2025-11-17,ok
B00031,Albumin,low,A+,39.01,2025-09-28,2025-11-22,ok
B00032,IgG,med,A-,30.28,2025-09-30,2025-11-12,ok
B00033,IgG,med,AB-,43.67,2025-10-05,2025-10-31,ok
B00034,Fibrinogen,med,B+,50.75,2025-10-15,2025-11-27,ok
B00035,Albumin,low,O-,40.97,2025-09-22,2025-11-23,ok
B00036,IgG,low,AB+,63.8,2025-09-29,2025-12-03,ok
B00037,Albumin,high,B+,59.91,2025-10-16,2025-12-03,ok
B00038,IgG,med,AB-,44.82,2025-10-14,2025-11-18,ok
B00039,IgG,low,AB-,12.85,2025-10-09,2025-12-09,ok
B00040,Albumin,low,O-,51.59,2025-10-01,2025-12-02,ok
B00041,IgG,high,O-,29.77,2025-10-06,2025-11-21,ok
B00042,IgG,med,A+,26.18,2025-10-16,2025-12-17,ok
